"GEO","TIME","S_ADJ","NACE_R2","SIZECLAS","ISCO08","INDIC_EM","Value","Flag and Footnotes"
"Sweden","2018Q2","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.5",""
"Sweden","2018Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.1",""
"Sweden","2018Q3","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.4",""
"Sweden","2018Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.1",""
"Sweden","2018Q4","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.4",""
"Sweden","2019Q1","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.9",""
"Sweden","2019Q1","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.5",""
"Sweden","2019Q2","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.7",""
"Sweden","2019Q2","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.5",""
"Sweden","2019Q3","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.0",""
"Sweden","2019Q3","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.4",""
"Sweden","2019Q4","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.0",""
"Sweden","2019Q4","Seasonally adjusted data, not calendar adjusted data","All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)","Total","Total","Job vacancy rate","2.3",""
