Rank;Probability;Label;SOC code;Occupation
556.;0.91;;51-4191;Heat treating equipment setters, operators, and tenders, metal and plastic
557.;0.91;;19-4041;Geological and petroleum technicians
558.;0.91;;49-3021;Automotive body and related repairers
559.;0.91;;51-7032;Patternmakers, wood
560.;0.91;;51-4021;Extruding and drawing machine setters, operators, and tenders, metal and plastic
561.;0.92;;43-9071;Office machine operators, except computer
562.;0.92;;29-2052;Pharmacy technicians
563.;0.92;;43-4131;Loan interviewers and clerks
564.;0.92;;53-7031;Dredge operators
565.;0.92;;41-3021;Insurance sales agents
566.;0.92;;51-7011;Cabinetmakers and bench carpenters
567.;0.92;;51-9123;Painting, coating, and decorating workers
568.;0.92;;47-4031;Fence erectors
569.;0.92;;51-4193;Plating and coating machine setters, operators, and tenders, metal and plastic
570.;0.92;;41-2031;Retail salespersons
571.;0.92;;35-3021;Combined food preparation and serving workers, including fast food
572.;0.92;;51-9399;Production workers, all other
573.;0.92;;47-3012;Helpers–carpenters
574.;0.93;;51-9193;Cooling and freezing equipment operators and tenders
575.;0.93;;51-2091;Fiberglass laminators and fabricators
576.;0.93;;47-5013;Service unit operators, oil, gas, and mining
577.;0.93;;53-7011;Conveyor operators and tenders
578.;0.93;;49-3053;Outdoor power equipment and other small engine mechanics
579.;0.93;;53-4012;Locomotive firers
580.;0.93;;53-7063;Machine feeders and offbearers
581.;0.93;;51-4061;Model makers, metal and plastic
582.;0.93;;49-2021;Radio, cellular, and tower equipment installers and repairs
583.;0.93;;51-3021;Butchers and meat cutters
584.;0.93;;51-9041;Extruding, forming, pressing, and compacting machine setters, operators, and tenders
585.;0.93;;53-7081;Refuse and recyclable material collectors
586.;0.93;1;13-2081;Tax examiners and collectors, and revenue agents
587.;0.93;;51-4022;Forging machine setters, operators, and tenders, Metal and Plastic
588.;0.93;1;53-7051;Industrial truck and tractor operators
589.;0.94;1;13-2011;Accountants and auditors
590.;0.94;;51-4032;Drilling and boring machine tool setters, operators, and tenders, metal and plastic
591.;0.94;;43-9051;Mail clerks and mail machine operators, except postal service
592.;0.94;0;35-3031;Waiters and waitresses
593.;0.94;;51-3022;Meat, poultry, and fish cutters and trimmers
594.;0.94;;13-2031;Budget analysts
595.;0.94;;47-2051;Cement masons and concrete finishers
596.;0.94;;49-3091;Bicycle repairers
597.;0.94;;49-9091;Coin, vending, and amusement machine servicers and repairers
598.;0.94;;51-4121;Welders, cutters, solderers, and brazers
599.;0.94;1;43-5021;Couriers and messengers
600.;0.94;;43-4111;Interviewers, except eligibility and loan
601.;0.94;;35-2015;Cooks, short order
602.;0.94;;53-7032;Excavating and loading machine and dragline operators
603.;0.94;;47-3014;Helpers–painters, paperhangers, plasterers, and stucco masons
604.;0.94;;43-4081;Hotel, motel, and resort desk clerks
605.;0.94;;51-9197;Tire builders
606.;0.94;;41-9091;Door-to-door sales workers, news and street vendors, and related workers
607.;0.94;;37-1011;First-line Supervisors of housekeeping and janitorial workers
608.;0.94;;45-2011;Agricultural inspectors
609.;0.94;1;23-2011;Paralegals and legal assistants
610.;0.95;;39-5092;Manicurists and pedicurists
611.;0.95;;43-5111;Weighers, measurers, checkers, and samplers, recordkeeping
612.;0.95;;51-6062;Textile cutting machine setters, operators, and tenders
613.;0.95;;43-3011;Bill and account collectors
614.;0.95;;51-8011;Nuclear power reactor operators
615.;0.95;;33-9031;Gaming surveillance officers and gaming investigators
616.;0.95;;43-4121;Library assistants, clerical
617.;0.95;;47-2073;Operating engineers and other construction equipment operators
618.;0.95;;51-5113;Print binding and finishing workers
619.;0.95;;45-2021;Animal breeders
620.;0.95;;51-4072;Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic
621.;0.95;1;51-2022;Electrical and electronic equipment assemblers
622.;0.95;;51-9191;Adhesive bonding machine operators and tenders
623.;0.95;;37-3011;Landscaping and groundskeeping workers
624.;0.95;;51-4033;Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
625.;0.95;;43-5051;Postal service clerks
626.;0.95;;51-9071;Jewelers and precious stone and metal workers
627.;0.96;;43-5032;Dispatchers, except police, fire, and ambulance
628.;0.96;;43-4171;Receptionists and information clerks
629.;0.96;;43-9061;Office clerks, general
630.;0.96;;11-3111;Compensation and benefits managers
631.;0.96;1;43-2011;Switchboard operators, including answering service
632.;0.96;;35-3022;Counter attendants, cafeteria, food concession, and Coffee Shop
633.;0.96;;47-5051;Rock splitters, quarry
634.;0.96;;43-6014;Secretaries and administrative assistants, except legal, medical, and executive
635.;0.96;;17-3031;Surveying and mapping technicians
636.;0.96;;51-7031;Model makers, wood
637.;0.96;;51-6064;Textile winding, twisting, and drawing out machine setters, operators, and tenders
638.;0.96;;53-4011;Locomotive engineers
639.;0.96;1;39-3011;Gaming dealers
640.;0.96;;49-9093;Fabric menders, except garment
641.;0.96;;35-2014;Cooks, restaurant
642.;0.96;;39-3031;Ushers, lobby attendants, and ticket takers
643.;0.96;;43-3021;Billing and posting clerks
644.;0.97;;53-6011;Bridge and lock tenders
645.;0.97;;51-7042;Woodworking machine setters, operators, and tenders, except sawing
646.;0.97;;51-2092;Team assemblers
647.;0.97;;51-6042;Shoe machine operators and tenders
648.;0.97;;51-2023;Electromechanical equipment assemblers
649.;0.97;1;13-1074;Farm labour contractors
650.;0.97;;51-6061;Textile bleaching and dyeing machine operators and tenders
651.;0.97;;51-9081;Dental laboratory technicians
652.;0.97;;51-9021;Crushing, grinding, and polishing machine setters, operators, and tenders
653.;0.97;;51-9022;Grinding and polishing workers, hand
654.;0.97;;37-3012;Pesticide handlers, sprayers, and applicators, vegetation
655.;0.97;;45-4023;Log graders and scalers
656.;0.97;;51-9083;Ophthalmic laboratory technicians
657.;0.97;1;41-2011;Cashiers
658.;0.97;;49-9061;Camera and photographic equipment repairers
659.;0.97;;39-3021;Motion picture projectionists
660.;0.97;;51-5111;Prepress technicians and workers
661.;0.97;;41-2021;Counter and rental clerks
662.;0.97;1;43-4071;File clerks
663.;0.97;;41-9021;Real estate brokers
664.;0.97;;43-2021;Telephone operators
665.;0.97;;19-4011;Agricultural and food science technicians
666.;0.97;;43-3051;Payroll and timekeeping clerks
667.;0.97;1;43-4041;Credit authorizers, checkers, and clerks
668.;0.97;;35-9031;Hosts and hostesses, restaurant, lounge, and coffee shop
669.;0.98;;41-9012;Models
670.;0.98;;51-9061;Inspectors, testers, sorters, samplers, and weighers
671.;0.98;;43-3031;Bookkeeping, accounting, and auditing clerks
672.;0.98;;43-6012;Legal secretaries
673.;0.98;;27-4013;Radio operators
674.;0.98;;53-3031;Driver/sales workers
675.;0.98;1;13-1031;Claims adjusters, examiners, and investigators
676.;0.98;;41-2022;Parts salespersons
677.;0.98;1;13-2041;Credit analysts
678.;0.98;;51-4035;Milling and planing machine setters, operators, and tenders, metal and plastic
679.;0.98;;43-5071;Shipping, receiving, and traffic clerks
680.;0.98;;43-3061;Procurement clerks
681.;0.98;;51-9111;Packaging and filling machine operators and tenders
682.;0.98;;51-9194;Etchers and engravers
683.;0.98;;43-3071;Tellers
684.;0.98;;27-2023;Umpires, referees, and other sports officials
685.;0.98;;13-1032;Insurance appraisers, auto damage
686.;0.98;1;13-2072;Loan officers
687.;0.98;;43-4151;Order clerks
688.;0.98;;43-4011;Brokerage clerks
689.;0.98;;43-9041;Insurance claims and policy processing clerks
690.;0.98;;51-2093;Timing device assemblers and adjusters
691.;0.99;1;43-9021;Data entry keyers
692.;0.99;;25-4031;Library technicians
693.;0.99;;43-4141;New accounts clerks
694.;0.99;;51-9151;Photographic process workers and processing machine operators
695.;0.99;;13-2082;Tax preparers
696.;0.99;;43-5011;Cargo and freight agents
697.;0.99;;49-9064;Watch repairers
698.;0.99;1;13-2053;Insurance underwriters
699.;0.99;;15-2091;Mathematical technicians
700.;0.99;;51-6051;Sewers, hand
701.;0.99;;23-2093;Title examiners, abstractors, and searchers
702.;0.99;;41-9041;Telemarketers
